id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code,home_link,wikipedia_link,keywords
26618,VOMM,large_airport,Chennai International Airport,12.990005,80.169296,52.0,AS,IN,IN-TN,Chennai,yes,VOMM,MAA,VOMM,,,https://en.wikipedia.org/wiki/Chennai_International_Airport,Madras
26636,VRMM,large_airport,Velana International Airport,4.19183,73.529099,6.0,AS,MV,MV-MLE,Malé,yes,VRMM,MLE,VRMM,,https://www.airports.com.mv/,https://en.wikipedia.org/wiki/Mal%C3%A9_International_Airport,Malé International Airport
26638,VTBD,large_airport,Don Mueang International Airport,13.9126,100.607002,9.0,AS,TH,TH-10,Bangkok,yes,VTBD,DMK,VTBD,,http://www.airportthai.co.th/airportnew/bangkok/index.asp?lang=en,https://en.wikipedia.org/wiki/Don_Mueang_International_Airport,"Old Bangkok International Airport, Don Muang Royal Thai Air Force Base"
28118,VTBS,large_airport,Suvarnabhumi Airport,13.6811,100.747002,5.0,AS,TH,TH-10,Bangkok,yes,VTBS,BKK,VTBS,,https://suvarnabhumi.airportthai.co.th/,https://en.wikipedia.org/wiki/Suvarnabhumi_Airport,
26647,VTCC,large_airport,Chiang Mai International Airport,18.7667999268,98.962600708,1036.0,AS,TH,TH-50,Chiang Mai,yes,VTCC,CNX,VTCC,,,https://en.wikipedia.org/wiki/Chiang_Mai_International_Airport,
26672,VTSM,large_airport,Samui International Airport,9.54779,100.061996,64.0,AS,TH,TH-84,Na Thon (Ko Samui Island),yes,VTSM,USM,VTSM,,http://www.samuiairportonline.com,https://en.wikipedia.org/wiki/Samui_Airport,
26674,VTSP,large_airport,Phuket International Airport,8.113257,98.3174,82.0,AS,TH,TH-83,Phuket,yes,VTSP,HKT,VTSP,,https://phuket.airportthai.co.th/,https://en.wikipedia.org/wiki/Phuket_International_Airport,
26697,VVDN,large_airport,Da Nang International Airport,16.0439,108.198997,33.0,AS,VN,VN-SCC,Da Nang,yes,VVDN,DAD,VVDN,,,https://en.wikipedia.org/wiki/Da_Nang_International_Airport,"Danang, Cảng Hàng không Quốc tế Đà Nẵng"
26700,VVNB,large_airport,Noi Bai International Airport,21.221201,105.806999,39.0,AS,VN,VN-RRD,Hanoi (Soc Son),yes,VVNB,HAN,VVNB,,,https://en.wikipedia.org/wiki/Noi_Bai_International_Airport,"Noibai Airport, Sân bay Quốc tế Nội Bài"
26705,VVPQ,large_airport,Phú Quốc International Airport,10.169783,103.99353,37.0,AS,VN,VN-SW,Phu Quoc Island,yes,VVPQ,PQC,VVPQ,,https://sunwairport.vn,https://en.wikipedia.org/wiki/Phu_Quoc_International_Airport,
26708,VVTS,large_airport,Tan Son Nhat International Airport,10.8188,106.652,33.0,AS,VN,VN-SE,Ho Chi Minh City,yes,VVTS,SGN,VVTS,,http://www.tsnairport.hochiminhcity.gov.vn/,https://en.wikipedia.org/wiki/Tan_Son_Nhat_International_Airport,"Tansonnhat, Sài Gòn, Saigon, Sân bay Quốc tế Tân Sơn Nhất, Tan Son Nhut Air Base, Tan Son Nhut Airfield"
26751,WADD,large_airport,Denpasar I Gusti Ngurah Rai International Airport,-8.748409,115.167123,14.0,AS,ID,ID-BA,"Kuta, Badung",yes,WADD,DPS,WADD,,http://www.angkasapura1.co.id/eng/location/bali.htm,https://en.wikipedia.org/wiki/Ngurah_Rai_International_Airport,"WRRR, Bali, Denpasar International Airport, Denpasar"
26789,WARR,large_airport,Juanda International Airport,-7.37983,112.787003,9.0,AS,ID,ID-JI,Surabaya,yes,WARR,SUB,WARR,,http://www.juanda-airport.com/,https://en.wikipedia.org/wiki/Juanda_International_Airport,"WRSJ, Sedati, Sidoarjo"
26814,WBKK,large_airport,Kota Kinabalu International Airport,5.932743,116.049324,10.0,AS,MY,MY-12,Kota Kinabalu,yes,WBKK,BKI,WBKK,,,https://en.wikipedia.org/wiki/Kota_Kinabalu_International_Airport,"Lapangan Terbang Antarabangsa Kota Kinabalu, Jesselton Airfield"
26819,WBSB,large_airport,Brunei International Airport,4.9442,114.928001,73.0,AS,BN,BN-BM,Bandar Seri Begawan,yes,WBSB,BWN,WBSB,,,https://en.wikipedia.org/wiki/Brunei_International_Airport,
26835,WIII,large_airport,Soekarno-Hatta International Airport,-6.12557,106.655998,34.0,AS,ID,ID-BT,Jakarta,yes,WIII,CGK,WIII,,http://www.jakartasoekarnohattaairport.com/,https://en.wikipedia.org/wiki/Soekarno-Hatta_International_Airport,"JKT, Cengkareng, Java"
26874,WMKK,large_airport,Kuala Lumpur International Airport,2.74558,101.709999,69.0,AS,MY,MY-10,Sepang,yes,WMKK,KUL,WMKK,,,https://en.wikipedia.org/wiki/Kuala_Lumpur_International_Airport,KLIA
26878,WMKP,large_airport,Penang International Airport,5.296303,100.276185,11.0,AS,MY,MY-07,Penang,yes,WMKP,PEN,WMKP,,,https://en.wikipedia.org/wiki/Penang_International_Airport,
26879,WMSA,large_airport,Sultan Abdul Aziz Shah International Airport,3.13058,101.549004,90.0,AS,MY,MY-10,Subang,yes,WMSA,SZB,WMSA,,https://subangskypark.com,https://en.wikipedia.org/wiki/Sultan_Abdul_Aziz_Shah_Airport,"Subang SkyPark, Subang Airport, Subang International Airport"
26887,WSSS,large_airport,Singapore Changi Airport,1.35019,103.994003,22.0,AS,SG,SG-04,Singapore,yes,WSSS,SIN,WSSS,,http://www.changiairport.com/,https://en.wikipedia.org/wiki/Singapore_Changi_Airport,RAF Changi
26901,YBBN,large_airport,Brisbane International Airport,-27.38419914245605,153.11700439453125,13.0,OC,AU,AU-QLD,Brisbane,yes,YBBN,BNE,YBBN,,,https://en.wikipedia.org/wiki/Brisbane_Airport,
26904,YBCS,large_airport,Cairns International Airport,-16.878921,145.74948,10.0,OC,AU,AU-QLD,Cairns,yes,YBCS,CNS,YBCS,,https://www.cairnsairport.com.au/,https://en.wikipedia.org/wiki/Cairns_International_Airport,
27066,YMML,large_airport,Melbourne Airport,-37.670732,144.837898,434.0,OC,AU,AU-VIC,Melbourne,yes,YMML,MEL,YMML,,http://melbourneairport.com.au/,https://en.wikipedia.org/wiki/Melbourne_Airport,"Melbourne International, Tullamarine"
27096,YPAD,large_airport,Adelaide International Airport,-34.947512,138.533393,20.0,OC,AU,AU-SA,Adelaide,yes,YPAD,ADL,YPAD,,,https://en.wikipedia.org/wiki/Adelaide_Airport,
27119,YPPH,large_airport,Perth International Airport,-31.94029998779297,115.96700286865234,67.0,OC,AU,AU-WA,Perth,yes,YPPH,PER,YPPH,,,https://en.wikipedia.org/wiki/Perth_Airport,
27145,YSSY,large_airport,Sydney Kingsford Smith International Airport,-33.946098,151.177002,21.0,OC,AU,AU-NSW,Sydney (Mascot),yes,YSSY,SYD,YSSY,,http://www.sydneyairport.com.au/,https://en.wikipedia.org/wiki/Sydney_Airport,"Kingsford Smith, Mascot, RAAF Station Mascot"
27188,ZBAA,large_airport,Beijing Capital International Airport,40.077349,116.596702,116.0,AS,CN,CN-11,Beijing,yes,ZBAA,PEK,ZBAA,,https://en.bcia.com.cn/,https://en.wikipedia.org/wiki/Beijing_Capital_International_Airport,"BJS, Beijing, Peking, 北京, 北京首都国际机场, 北京首都机场, 北京机场"
330820,ZBAD,large_airport,Beijing Daxing International Airport,39.501289,116.413967,98.0,AS,CN,CN-11,Beijing,yes,ZBAD,PKX,ZBAD,,,https://en.wikipedia.org/wiki/Beijing_Daxing_International_Airport,
30876,ZBDT,large_airport,Datong Yungang International Airport,40.06139,113.480509,3442.0,AS,CN,CN-14,Datong,yes,ZBDT,DAT,ZBDT,,,https://en.wikipedia.org/wiki/Datong_Yungang_Airport,
27189,ZBHH,large_airport,Hohhot Baita International Airport,40.849658,111.824598,3556.0,AS,CN,CN-15,Hohhot,yes,ZBHH,HET,ZBHH,,http://www.hhhtbtjc.com/,https://en.wikipedia.org/wiki/Hohhot_Baita_International_Airport,
27190,ZBLA,large_airport,Hulunbuir Hailar Airport,49.208616,119.822301,2169.0,AS,CN,CN-15,Hailar,yes,ZBLA,HLD,ZBLA,,,https://en.wikipedia.org/wiki/Hulunbuir_Hailar_Airport,Hailar Dongshan
27191,ZBSJ,large_airport,Shijiazhuang Zhengding International Airport,38.280701,114.696999,233.0,AS,CN,CN-13,Shijiazhuang,yes,ZBSJ,SJW,ZBSJ,,,https://en.wikipedia.org/wiki/Shijiazhuang_Zhengding_International_Airport,Daguocun
27192,ZBTJ,large_airport,Tianjin Binhai International Airport,39.1244010925,117.346000671,10.0,AS,CN,CN-12,Tianjin,yes,ZBTJ,TSN,ZBTJ,,,https://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport,
300455,ZBYC,large_airport,Yuncheng Yanhu International Airport,35.117823,111.034023,1242.0,AS,CN,CN-61,Yuncheng (Yanhu),yes,ZBYC,YCU,ZBYC,,,https://en.wikipedia.org/wiki/Yuncheng_Zhangxiao_Airport,Yuncheng Guangong Airport
27193,ZBYN,large_airport,Taiyuan Wusu International Airport,37.746899,112.627998,2575.0,AS,CN,CN-14,Taiyuan,yes,ZBYN,TYN,ZBYN,,,https://en.wikipedia.org/wiki/Taiyuan_Wusu_International_Airport,
30958,ZGDY,large_airport,Zhangjiajie Hehua International Airport,29.104749,110.442786,8530.0,AS,CN,CN-43,Zhangjiajie (Yongding),yes,ZGDY,DYG,ZGDY,,,https://en.wikipedia.org/wiki/Zhangjiajie_Hehua_Airport,"Dayong Airport, 张家界, 张家界荷花国际机场，荷花"
27194,ZGGG,large_airport,Guangzhou Baiyun International Airport,23.392401,113.299004,50.0,AS,CN,CN-44,Guangzhou (Huadu),yes,ZGGG,CAN,ZGGG,,http://www.baiyunairport.com/english/index.jsp,https://en.wikipedia.org/wiki/Guangzhou_Baiyun_International_Airport,
27195,ZGHA,large_airport,Changsha Huanghua International Airport,28.189199,113.220001,217.0,AS,CN,CN-43,Changsha (Changsha),yes,ZGHA,CSX,ZGHA,,,https://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport,长沙黄花国际机场
27196,ZGKL,large_airport,Guilin Liangjiang International Airport,25.219828,110.039553,570.0,AS,CN,CN-45,Guilin (Lingui),yes,ZGKL,KWL,ZGKL,,,https://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport,
27199,ZHCC,large_airport,Zhengzhou Xinzheng International Airport,34.526497,113.849165,495.0,AS,CN,CN-41,Zhengzhou,yes,ZHCC,CGO,ZHCC,,,https://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport,Xinzheng Airport
31006,ZHES,medium_airport,Enshi Xujiaping Airport,30.320299,109.485001,1605.0,AS,CN,CN-42,Enshi (Enshi),yes,ZHES,ENH,ZHES,,,https://en.wikipedia.org/wiki/Enshi_Xujiaping_Airport,
27200,ZHHH,large_airport,Wuhan Tianhe International Airport,30.774798,114.213723,113.0,AS,CN,CN-42,Wuhan (Huangpi),yes,ZHHH,WUH,ZHHH,,http://www.whairport.com/,https://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport,
32723,ZHYC,medium_airport,Yichang Sanxia Airport,30.554132,111.482563,673.0,AS,CN,CN-42,Yichang (Xiaoting),yes,ZHYC,YIH,ZHYC,,http://www.sanxiaairport.com/,https://en.wikipedia.org/wiki/Yichang_Sanxia_Airport,
27201,ZJHK,large_airport,Haikou Meilan International Airport,19.9349,110.459,75.0,AS,CN,CN-46,Haikou (Meilan),yes,ZJHK,HAK,ZJHK,,,https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport,ZGHK
27202,ZJSY,large_airport,Sanya Phoenix International Airport,18.3029,109.412003,92.0,AS,CN,CN-46,Sanya (Tianya),yes,ZJSY,SYX,ZJSY,,,https://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport,
30929,ZLDH,large_airport,Dunhuang Mogao International Airport,40.161953,94.812827,,AS,CN,CN-62,Dunhuang,yes,ZLDH,DNH,ZLDH,,,https://en.wikipedia.org/wiki/Dunhuang_Airport,
298989,ZLIC,large_airport,Yinchuan Hedong International Airport,38.322758,106.393214,3743.0,AS,CN,CN-64,Yinchuan,yes,ZLIC,INC,ZLIC,,https://ningxia.cwag.com/,https://en.wikipedia.org/wiki/Yinchuan_Hedong_International_Airport,"银川, 银川河东国际机场，宁夏"
27204,ZLLL,large_airport,Lanzhou Zhongchuan International Airport,36.515202,103.620003,6388.0,AS,CN,CN-62,Lanzhou (Yongdeng),yes,ZLLL,LHW,ZLLL,,http://lzzcairport.com/Home/Index,https://en.wikipedia.org/wiki/Lanzhou_Airport,"ZGC, Datong Air Base, 兰州中川国际机场"
32709,ZLXN,large_airport,Xining Caojiabao International Airport,36.52775,102.040215,7119.0,AS,CN,CN-63,Haidong (Huzhu Tu Autonomous County),yes,ZLXN,XNN,ZLXN,,,https://en.wikipedia.org/wiki/Xining_Caojiabao_International_Airport,"Caojiabu, Caojiapu"
27205,ZLXY,large_airport,Xi'an Xianyang International Airport,34.447102,108.751999,1572.0,AS,CN,CN-61,Xianyang (Weicheng),yes,ZLXY,XIY,ZLXY,,http://www.xxia.com/,https://en.wikipedia.org/wiki/Xi'an_Xianyang_International_Airport,"西安咸阳国际机场, Xian"
335326,ZMCK,large_airport,Ulaanbaatar Chinggis Khaan International Airport,47.646916,106.819833,4482.0,AS,MN,MN-047,Ulaanbaatar (Sergelen),yes,ZMCK,UBN,ZMCK,,https://ulaanbaatar-airport.mn/,https://en.wikipedia.org/wiki/New_Ulaanbaatar_International_Airport,Khöshig Valley
31828,ZPLJ,large_airport,Lijiang Sanyi International Airport,26.677483,100.244944,7359.0,AS,CN,CN-53,Lijiang,yes,ZPLJ,LJG,ZPLJ,,,https://en.wikipedia.org/wiki/Lijiang_Sanyi_Airport,"Yunlong Air Base, 丽江三义机场"
27214,ZPPP,large_airport,Kunming Changshui International Airport,25.110313,102.936743,6903.0,AS,CN,CN-53,Kunming,yes,ZPPP,KMG,ZPPP,,,https://en.wikipedia.org/wiki/Kunming_Changshui_International_Airport,
27215,ZSAM,large_airport,Xiamen Gaoqi International Airport,24.543889,118.127454,59.0,AS,CN,CN-35,Xiamen,yes,ZSAM,XMN,ZSAM,,http://www.xiagc.com.cn/enweb/,https://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport,厦门高崎国际机场
30871,ZSCG,medium_airport,Changzhou Benniu International Airport,31.920485,119.77546,33.0,AS,CN,CN-32,Changzhou,yes,ZSCG,CZX,ZSCG,,,https://en.wikipedia.org/wiki/Changzhou_Benniu_International_Airport,
27217,ZSFZ,large_airport,Fuzhou Changle International Airport,25.929254,119.672524,46.0,AS,CN,CN-35,Fuzhou (Changle),yes,ZSFZ,FOC,ZSFZ,FOC,,https://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport,
27218,ZSHC,large_airport,Hangzhou Xiaoshan International Airport,30.23609,120.428865,23.0,AS,CN,CN-33,Hangzhou,yes,ZSHC,HGH,ZSHC,,https://www.hzairport.com/,https://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport,"Hang Zhou, 杭州萧山国际机场"
27219,ZSJN,large_airport,Jinan Yaoqiang International Airport,36.857201,117.216003,76.0,AS,CN,CN-37,Jinan (Licheng),yes,ZSJN,TNA,ZSJN,,,https://en.wikipedia.org/wiki/Jinan_Yaoqiang_International_Airport,
27220,ZSNB,large_airport,Ningbo Lishe International Airport,29.82670021057129,121.46199798583984,13.0,AS,CN,CN-33,Ningbo,yes,ZSNB,NGB,ZSNB,,,https://en.wikipedia.org/wiki/Ningbo_Lishe_International_Airport,
27221,ZSNJ,large_airport,Nanjing Lukou International Airport,31.735032,118.865949,49.0,AS,CN,CN-32,Nanjing,yes,ZSNJ,NKG,ZSNJ,,,https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport,
27222,ZSOF,large_airport,Hefei Xinqiao International Airport,31.98779,116.9769,207.0,AS,CN,CN-34,Hefei,yes,ZSOF,HFE,ZSOF,,https://hfairport.com,https://en.wikipedia.org/wiki/Hefei_Xinqiao_International_Airport,合肥，合肥新桥机场
27223,ZSPD,large_airport,Shanghai Pudong International Airport,31.1434,121.805,13.0,AS,CN,CN-31,Shanghai (Pudong),yes,ZSPD,PVG,ZSPD,,https://www.shairport.com/enpd/,https://en.wikipedia.org/wiki/Shanghai_Pudong_International_Airport,"上海, 上海浦东国际机场, 浦东"
342096,ZSQD,large_airport,Qingdao Jiaodong International Airport,36.361953,120.088171,30.0,AS,CN,CN-37,Qingdao (Jiaozhou),yes,ZSQD,TAO,ZSQD,,,https://en.wikipedia.org/wiki/Qingdao_Jiaodong_International_Airport,
31705,ZSQZ,large_airport,Quanzhou Jinjiang International Airport,24.795855,118.588599,39.0,AS,CN,CN-35,Quanzhou,yes,ZSQZ,JJN,ZSQZ,,,https://en.wikipedia.org/wiki/Quanzhou_Jinjiang_International_Airport,"Jinjiang Air Base, Chin Chiang, Qingyang"
27225,ZSSS,large_airport,Shanghai Hongqiao International Airport,31.198104,121.33426,10.0,AS,CN,CN-31,Shanghai (Minhang),yes,ZSSS,SHA,ZSSS,,http://www.shairport.com/enhq/index.html,https://en.wikipedia.org/wiki/Shanghai_Hongqiao_International_Airport,"上海, 上海虹桥, 上海虹桥国际机场"
32489,ZSTX,large_airport,Huangshan Tunxi International Airport,29.733299,118.255997,,AS,CN,CN-34,Huangshan,yes,ZSTX,TXN,ZSTX,,,https://en.wikipedia.org/wiki/Huangshan_Tunxi_International_Airport,
32684,ZSWX,large_airport,Sunan Shuofang International Airport,31.496952,120.43038,24.0,AS,CN,CN-32,Wuxi,yes,ZSWX,WUX,ZSWX,,,https://en.wikipedia.org/wiki/Wuxi_Shuofang_Airport,Wuxi Airport
32672,ZSWZ,large_airport,Wenzhou Longwan International Airport,27.910572,120.853465,13.0,AS,CN,CN-33,Wenzhou (Longwan),yes,ZSWZ,WNZ,ZSWZ,,,https://en.wikipedia.org/wiki/Wenzhou_Longwan_International_Airport,"温州永强机场, Wenzhou Yongqiang Airport"
32726,ZSYW,large_airport,Yiwu Airport,29.342095,120.03116,262.0,AS,CN,CN-33,Yiwu/Jinhua,yes,ZSYW,YIW,ZSYW,,,https://en.wikipedia.org/wiki/Yiwu_Airport,Jinhua
31624,ZSZS,large_airport,Zhoushan Putuoshan International Airport,29.933874,122.362307,3.0,AS,CN,CN-33,Zhoushan,yes,ZSZS,HSN,ZSZS,,,https://en.wikipedia.org/wiki/Zhoushan_Putuoshan_International_Airport,
27228,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.712254,106.651895,1365.0,AS,CN,CN-50,Chongqing,yes,ZUCK,CKG,ZUCK,,,https://en.wikipedia.org/wiki/Chongqing_Jiangbei_International_Airport,
27229,ZUGY,large_airport,Guiyang Longdongbao International Airport,26.541805,106.80402,3736.0,AS,CN,CN-52,Guiyang (Nanming),yes,ZUGY,KWE,ZUGY,,,https://en.wikipedia.org/wiki/Guiyang_Longdongbao_Airport,"Kaiyang Guiyang Air Base, Guiyang Air Base"
342095,ZUTF,large_airport,Chengdu Tianfu International Airport,30.31252,104.441284,1440.0,AS,CN,CN-51,Chengdu (Jianyang),yes,ZUTF,TFU,ZUTF,,,https://en.wikipedia.org/wiki/Chengdu_Tianfu_International_Airport,
27236,ZWWW,large_airport,Ürümqi Tianshan International Airport,43.913584,87.479372,2125.0,AS,CN,CN-65,Ürümqi,yes,ZWWW,URC,ZWWW,,,https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Tianshan_International_Airport,"Urumqi Diwopu Airport, Diwopu, 乌鲁木齐天山国际机场, 乌鲁木齐, 乌鲁木齐地窝堡机场"
27237,ZYCC,large_airport,Changchun Longjia International Airport,43.996201,125.684998,706.0,AS,CN,CN-22,Changchun,yes,ZYCC,CGQ,ZYCC,,,https://en.wikipedia.org/wiki/Changchun_Longjia_International_Airport,
27238,ZYHB,large_airport,Harbin Taiping International Airport,45.623402,126.25,457.0,AS,CN,CN-23,Harbin,yes,ZYHB,HRB,ZYHB,,,https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport,
27242,ZYTL,large_airport,Dalian Zhoushuizi International Airport,38.965719,121.538477,107.0,AS,CN,CN-21,Dalian (Ganjingzi),yes,ZYTL,DLC,ZYTL,,https://dlairport.com,https://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport,Dalian Air Base
27243,ZYTX,large_airport,Shenyang Taoxian International Airport,41.6398,123.483668,198.0,AS,CN,CN-21,Shenyang,yes,ZYTX,SHE,ZYTX,,,https://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport,"沈阳, 沈阳桃仙国际机场"
